timestamp,device,dns_target,icmp_target,service_host,dns_ms,error_code,icmp_jitter_ms,icmp_loss_pct,icmp_rtt_ms,probe_success,tcp_connect_ms
2026-03-08T14:22:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,59,0,4,0,52,1,66
2026-03-08T14:23:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,39,0,4,0,52,1,47
2026-03-08T14:23:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,69,0,10,0,54,1,56
2026-03-08T14:24:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,6,0,0,0,50,1,68
2026-03-08T14:24:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,46,0,5,0,53,1,41
2026-03-08T14:25:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,43,0,4,0,55,1,47
2026-03-08T14:25:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,46,0,7,0,56,1,67
2026-03-08T14:26:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,56,0,69,0,90,1,57
2026-03-08T14:26:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,260,0,22,0,190,1,207
2026-03-08T14:27:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,5,0,4,0,59,1,53
2026-03-08T14:27:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,50,0,0,33,59,1,50
2026-03-08T14:28:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,8,0,18,0,72,1,48
2026-03-08T14:28:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,52,0,3,0,61,1,48
2026-03-08T14:29:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,52,0,2,0,61,1,50
2026-03-08T14:29:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,54,0,11,0,49,1,49
2026-03-08T14:30:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,55,0,1,0,62,1,52
2026-03-08T14:30:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,56,0,7,0,67,1,52
2026-03-08T14:31:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,61,0,54,0,85,1,43
2026-03-08T14:31:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,11,0,11,0,52,1,156
2026-03-08T14:32:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,71,0,29,0,74,1,48
2026-03-08T14:32:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,41,0,4,0,50,1,45
2026-03-08T14:33:01Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,41,0,9,0,60,1,45
2026-03-08T14:33:31Z,temp-aquila,teams.microsoft.com,1.1.1.1,teams.microsoft.com,63,0,7,0,55,1,44
