timestamp,device,dns_target,icmp_target,service_host,dns_ms,error_code,icmp_jitter_ms,icmp_loss_pct,icmp_rtt_ms,probe_success,tcp_connect_ms
2026-07-15T03:01:26Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,79,0,5,0,40,1,70
2026-07-15T03:01:37Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,68,0,9,0,44,1,84
2026-07-15T03:01:48Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,73,0,16,0,54,1,80
2026-07-15T04:02:12Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,86,0,30,0,51,1,103
2026-07-15T04:02:23Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,84,0,7,0,43,1,83
2026-07-15T04:02:34Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,77,0,3,0,41,1,100
2026-07-15T04:02:46Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,193,0,15,0,49,1,56
2026-07-15T05:03:10Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,102,0,4,0,52,1,166
2026-07-15T05:03:22Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,88,0,8,0,56,1,75
2026-07-15T05:03:33Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,81,0,15,0,56,1,114
2026-07-15T05:03:44Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,79,0,8,0,43,1,62
2026-07-15T05:34:19Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,86,0,11,0,53,1,139
2026-07-15T05:34:30Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,96,0,6,0,53,1,59
2026-07-15T05:34:42Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,97,0,10,0,47,1,70
2026-07-15T05:34:53Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,79,0,10,0,56,1,155
2026-07-15T06:04:06Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,102,0,16,0,64,1,247
2026-07-15T06:04:18Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,83,0,4,0,48,1,71
2026-07-15T06:04:29Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,92,0,3,0,67,1,72
2026-07-15T06:04:40Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,78,0,7,0,46,1,132
2026-07-15T06:30:01Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,,0,14,0,49,1,158
2026-07-15T06:30:13Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,81,0,19,0,57,1,64
2026-07-15T06:30:24Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,85,0,5,0,46,1,101
2026-07-15T06:30:35Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,82,0,3,0,50,1,142
2026-07-15T06:30:46Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,71,0,7,0,57,1,73
2026-07-15T06:40:57Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,79,0,9,0,51,1,239
2026-07-15T06:41:09Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,80,0,14,0,52,1,74
2026-07-15T06:41:20Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,77,0,11,0,53,1,68
2026-07-15T06:41:31Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,64,0,13,0,58,1,80
2026-07-15T06:41:42Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,211,0,7,0,55,1,62
2026-07-15T06:41:53Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,69,0,19,0,64,1,61
2026-07-15T06:42:04Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,74,0,11,0,53,1,88
2026-07-15T06:42:15Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,92,0,11,0,58,1,82
2026-07-15T06:42:26Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,85,0,10,0,57,1,68
2026-07-15T06:42:37Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,82,0,0,0,49,1,63
2026-07-15T06:42:48Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,74,0,10,0,53,1,65
2026-07-15T06:42:58Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,88,0,13,0,72,1,73
2026-07-15T06:43:09Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,84,0,18,0,56,1,68
2026-07-15T06:43:20Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,81,0,9,0,61,1,116
2026-07-15T06:43:31Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,92,0,20,0,53,1,60
2026-07-15T06:43:42Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,64,0,10,0,58,1,76
2026-07-15T06:43:53Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,90,0,8,0,58,1,72
2026-07-15T06:44:04Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,83,0,15,0,61,1,81
2026-07-15T06:44:15Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,83,0,33,0,61,1,123
2026-07-15T06:44:26Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,210,0,4,0,56,1,80
2026-07-15T06:44:37Z,temp-aquila-mac,teams.microsoft.com,1.1.1.1,teams.microsoft.com,206,0,12,0,65,1,75
